,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
65923,55:56.4,GPS,80585253,0,6,168974400,2401,10,1.21,-35.3627988,149.1649094,607.95,10.047,354.7097,-0.7270001,0,1
66281,55:56.6,GPS,80785173,0,6,168974600,2401,10,1.21,-35.3627809,149.1649074,608.09,10.046,354.6906,-0.728,0,1
66636,55:56.8,GPS,80985093,0,6,168974800,2401,10,1.21,-35.3627629,149.1649053,608.24,10.044,354.6729,-0.728,0,1
66995,55:57.0,GPS,81185013,0,6,168975000,2401,10,1.21,-35.3627449,149.1649033,608.38,10.041,354.6545,-0.728,0,1
67351,55:57.2,GPS,81384933,0,6,168975200,2401,10,1.21,-35.362727,149.1649012,608.53,10.034,354.636,-0.7270001,0,1
67713,55:57.4,GPS,81584853,0,6,168975400,2401,10,1.21,-35.362709,149.1648991,608.68,10.027,354.619,-0.7270001,0,1
68070,55:57.6,GPS,81784773,0,6,168975600,2401,10,1.21,-35.3626911,149.1648971,608.82,10.02,354.6043,-0.7270001,0,1
68425,55:57.8,GPS,81984693,0,6,168975800,2401,10,1.21,-35.3626731,149.164895,608.97,10.014,354.5909,-0.726,0,1
68782,55:58.0,GPS,82184613,0,6,168976000,2401,10,1.21,-35.3626552,149.1648929,609.11,10.009,354.5774,-0.726,0,1
69138,55:58.2,GPS,82385366,0,6,168976200,2401,10,1.21,-35.3626373,149.1648908,609.26,10.006,354.5644,-0.7270001,0,1
69503,55:58.4,GPS,82585286,0,6,168976400,2401,10,1.21,-35.3626194,149.1648887,609.4,10.001,354.5529,-0.7270001,0,1
69861,55:58.6,GPS,82785206,0,6,168976600,2401,10,1.21,-35.3626016,149.1648866,609.55,9.998,354.5433,-0.726,0,1
69915,55:58.6,GPS,82825190,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
70218,55:58.8,GPS,82985126,0,6,168976800,2401,10,1.21,-35.3625837,149.1648845,609.69,10,354.5346,-0.725,0,1
